date,place,rating
2021-09-09,1,10674
2021-09-09,10,9101
2021-09-09,20,8562
2021-09-09,50,7714
2021-09-09,100,6941
2021-09-16,1,10737
2021-09-16,10,9101
2021-09-16,20,8562
2021-09-16,50,7714
2021-09-16,100,6941
2021-09-23,1,10860
2021-09-23,10,9104
2021-09-23,20,8562
2021-09-23,50,7763
2021-09-23,100,6952
2021-09-30,1,10870
2021-09-30,10,9104
2021-09-30,20,8562
2021-09-30,50,7823
2021-09-30,100,6968
2021-10-07,1,10962
2021-10-07,10,9104
2021-10-07,20,8562
2021-10-07,50,7768
2021-10-07,100,7002
2021-10-14,1,10962
2021-10-14,10,9104
2021-10-14,20,8573
2021-10-14,50,7768
2021-10-14,100,7002
2021-10-21,1,10962
2021-10-21,10,9104
2021-10-21,20,8573
2021-10-21,50,7823
2021-10-21,100,7024
2021-10-28,1,10892
2021-10-28,10,9104
2021-10-28,20,8562
2021-10-28,50,7823
2021-10-28,100,7012
2021-11-04,1,10892
2021-11-04,10,9206
2021-11-04,20,8562
2021-11-04,50,7823
2021-11-04,100,7012
2021-11-11,1,10892
2021-11-11,10,9214
2021-11-11,20,8562
2021-11-11,50,7823
2021-11-11,100,7019
2021-11-18,1,10892
2021-11-18,10,9214
2021-11-18,20,8562
2021-11-18,50,7823
2021-11-18,100,7039
2021-11-25,1,11006
2021-11-25,10,9101
2021-11-25,20,8647
2021-11-25,50,7775
2021-11-25,100,7039
2021-12-02,1,11024
2021-12-02,10,9149
2021-12-02,20,8635
2021-12-02,50,7741
2021-12-02,100,6975
2021-12-09,1,11126
2021-12-09,10,9149
2021-12-09,20,8647
2021-12-09,50,7747
2021-12-09,100,7019
2021-12-16,1,11126
2021-12-16,10,9149
2021-12-16,20,8647
2021-12-16,50,7747
2021-12-16,100,7019
2021-12-23,1,11225
2021-12-23,10,9111
2021-12-23,20,8647
2021-12-23,50,7747
2021-12-23,100,7039
2021-12-30,1,11347
2021-12-30,10,9111
2021-12-30,20,8635
2021-12-30,50,7774
2021-12-30,100,7045
2022-01-06,1,11347
2022-01-06,10,9111
2022-01-06,20,8635
2022-01-06,50,7825
2022-01-06,100,7072
2022-01-13,1,11501
2022-01-13,10,9143
2022-01-13,20,8678
2022-01-13,50,7840
2022-01-13,100,7045
2022-01-20,1,11389
2022-01-20,10,9181
2022-01-20,20,8678
2022-01-20,50,7840
2022-01-20,100,7086
2022-01-27,1,11389
2022-01-27,10,9298
2022-01-27,20,8678
2022-01-27,50,7840
2022-01-27,100,7102
2022-02-03,1,11389
2022-02-03,10,9298
2022-02-03,20,8697
2022-02-03,50,7822
2022-02-03,100,7102
2022-02-10,1,11560
2022-02-10,10,9333
2022-02-10,20,8762
2022-02-10,50,7866
2022-02-10,100,7142
2022-02-17,1,11510
2022-02-17,10,9397
2022-02-17,20,8837
2022-02-17,50,7866
2022-02-17,100,7158
2022-02-24,1,11521
2022-02-24,10,9412
2022-02-24,20,8837
2022-02-24,50,7879
2022-02-24,100,7195
2022-03-03,1,11521
2022-03-03,10,9433
2022-03-03,20,8853
2022-03-03,50,7942
2022-03-03,100,7197
2022-03-10,1,11548
2022-03-10,10,9433
2022-03-10,20,8853
2022-03-10,50,7963
2022-03-10,100,7218
2022-03-17,1,11548
2022-03-17,10,9433
2022-03-17,20,8853
2022-03-17,50,7963
2022-03-17,100,7248
2022-03-24,1,11548
2022-03-24,10,9433
2022-03-24,20,8853
2022-03-24,50,7965
2022-03-24,100,7251
2022-03-31,1,11548
2022-03-31,10,9433
2022-03-31,20,8853
2022-03-31,50,7977
2022-03-31,100,7277
2022-04-07,1,11548
2022-04-07,10,9433
2022-04-07,20,8853
2022-04-07,50,8012
2022-04-07,100,7253
2022-04-14,1,11548
2022-04-14,10,9433
2022-04-14,20,8853
2022-04-14,50,8003
2022-04-14,100,7253
2022-04-21,1,11548
2022-04-21,10,9434
