date,place,rating
2015-09-03,1,10167
2015-09-03,10,6829
2015-09-03,20,5901
2015-09-03,50,4978
2015-09-03,100,4153
2015-09-10,1,10167
2015-09-10,10,6836
2015-09-10,20,5882
2015-09-10,50,4954
2015-09-10,100,4145
2015-09-17,1,10048
2015-09-17,10,6910
2015-09-17,20,5781
2015-09-17,50,4947
2015-09-17,100,4131
2015-09-24,1,10115
2015-09-24,10,6910
2015-09-24,20,5781
2015-09-24,50,4974
2015-09-24,100,4158
2015-10-01,1,10322
2015-10-01,10,6910
2015-10-01,20,5853
2015-10-01,50,4979
2015-10-01,100,4159
2015-10-08,1,10299
2015-10-08,10,6910
2015-10-08,20,5853
2015-10-08,50,4937
2015-10-08,100,4172
2015-10-15,1,10242
2015-10-15,10,6910
2015-10-15,20,5809
2015-10-15,50,4939
2015-10-15,100,4177
2015-10-22,1,10280
2015-10-22,10,6910
2015-10-22,20,5909
2015-10-22,50,4947
2015-10-22,100,4199
2015-10-29,1,10280
2015-10-29,10,6910
2015-10-29,20,5909
2015-10-29,50,4906
2015-10-29,100,4216
2015-11-05,1,10143
2015-11-05,10,6800
2015-11-05,20,5839
2015-11-05,50,4912
2015-11-05,100,4202
2015-11-12,1,10207
2015-11-12,10,6758
2015-11-12,20,5809
2015-11-12,50,4915
2015-11-12,100,4228
2015-11-19,1,10742
2015-11-19,10,7593
2015-11-19,20,6000
2015-11-19,50,4915
2015-11-19,100,4264
2015-11-26,1,10742
2015-11-26,10,7593
2015-11-26,20,5984
2015-11-26,50,4983
2015-11-26,100,4261
2015-12-03,1,10742
2015-12-03,10,6950
2015-12-03,20,5858
2015-12-03,50,4952
2015-12-03,100,4256
2015-12-10,1,10721
2015-12-10,10,6826
2015-12-10,20,5779
2015-12-10,50,5080
2015-12-10,100,4286
2015-12-17,1,10721
2015-12-17,10,6720
2015-12-17,20,5705
2015-12-17,50,5021
2015-12-17,100,4309
2015-12-24,1,10834
2015-12-24,10,6720
2015-12-24,20,5704
2015-12-24,50,5025
2015-12-24,100,4282
2015-12-31,1,10834
2015-12-31,10,6720
2015-12-31,20,5763
2015-12-31,50,5043
2015-12-31,100,4282
2016-01-07,1,10834
2016-01-07,10,6720
2016-01-07,20,5763
2016-01-07,50,5043
2016-01-07,100,4282
2016-01-14,1,10561
2016-01-14,10,6720
2016-01-14,20,5850
2016-01-14,50,5023
2016-01-14,100,4293
2016-01-21,1,10561
2016-01-21,10,6720
2016-01-21,20,5850
2016-01-21,50,5010
2016-01-21,100,4291
2016-01-28,1,10482
2016-01-28,10,6720
2016-01-28,20,5843
2016-01-28,50,5017
2016-01-28,100,4366
2016-02-04,1,10567
2016-02-04,10,6720
2016-02-04,20,5817
2016-02-04,50,5049
2016-02-04,100,4383
2016-02-11,1,10612
2016-02-11,10,6667
2016-02-11,20,5811
2016-02-11,50,4986
2016-02-11,100,4405
2016-02-18,1,10612
2016-02-18,10,6629
2016-02-18,20,5787
2016-02-18,50,4969
2016-02-18,100,4374
2016-02-25,1,10732
2016-02-25,10,6705
2016-02-25,20,5787
2016-02-25,50,4991
2016-02-25,100,4405
2016-03-03,1,10800
2016-03-03,10,6645
2016-03-03,20,5865
2016-03-03,50,5074
2016-03-03,100,4374
2016-03-10,1,10555
2016-03-10,10,6629
2016-03-10,20,5831
2016-03-10,50,5074
2016-03-10,100,4383
2016-03-17,1,10474
2016-03-17,10,6629
2016-03-17,20,5849
2016-03-17,50,5080
2016-03-17,100,4369
2016-03-24,1,10500
2016-03-24,10,6598
2016-03-24,20,5868
2016-03-24,50,5107
2016-03-24,100,4369
2016-03-31,1,10512
2016-03-31,10,6598
2016-03-31,20,5843
2016-03-31,50,5070
2016-03-31,100,4396
2016-04-07,1,10577
2016-04-07,10,6869
2016-04-07,20,5824
2016-04-07,50,5082
2016-04-07,100,4393
2016-04-14,1,10577
2016-04-14,10,6869
2016-04-14,20,5838
2016-04-14,50,5099
2016-04-14,100,4400
2016-04-21,1,10614
2016-04-21,10,6869
2016-04-21,20,5806
2016-04-21,50,5099
2016-04-21,100,4473
2016-04-28,1,10723
2016-04-28,10,6869
2016-04-28,20,5799
2016-04-28,50,5099
2016-04-28,100,4461
2016-05-05,1,10764
2016-05-05,10,6869
2016-05-05,20,5799
2016-05-05,50,5108
2016-05-05,100,4461
2016-05-12,1,11055
2016-05-12,10,6974
2016-05-12,20,5799
2016-05-12,50,5102
2016-05-12,100,4467
2016-05-19,1,11055
2016-05-19,10,6974
2016-05-19,20,5806
2016-05-19,50,5087
2016-05-19,100,4460
2016-05-26,1,11146
2016-05-26,10,6974
2016-05-26,20,5827
2016-05-26,50,5082
2016-05-26,100,4496
2016-06-02,1,10980
2016-06-02,10,6974
2016-06-02,20,5829
2016-06-02,50,5082
2016-06-02,100,4499
2016-06-09,1,11065
2016-06-09,10,6942
2016-06-09,20,5839
2016-06-09,50,5052
2016-06-09,100,4502
2016-06-16,1,11097
2016-06-16,10,6942
2016-06-16,20,5827
2016-06-16,50,5052
2016-06-16,100,4502
2016-06-23,1,11116
2016-06-23,10,6888
2016-06-23,20,5947
2016-06-23,50,5140
2016-06-23,100,4527
2016-06-30,1,11293
2016-06-30,10,6888
2016-06-30,20,5935
2016-06-30,50,5135
2016-06-30,100,4521
2016-07-07,1,11345
2016-07-07,10,6843
2016-07-07,20,5936
2016-07-07,50,5149
2016-07-07,100,4575
2016-07-14,1,11345
2016-07-14,10,6843
2016-07-14,20,5947
2016-07-14,50,5151
2016-07-14,100,4575
2016-07-21,1,11227
2016-07-21,10,6843
2016-07-21,20,5976
2016-07-21,50,5190
2016-07-21,100,4575
2016-07-28,1,11227
2016-07-28,10,6843
2016-07-28,20,5976
2016-07-28,50,5165
2016-07-28,100,4575
2016-08-04,1,11227
2016-08-04,10,6843
2016-08-04,20,5976
2016-08-04,50,5190
2016-08-04,100,4575
2016-08-11,1,11358
2016-08-11,10,6843
2016-08-11,20,5973
2016-08-11,50,5189
2016-08-11,100,4575
2016-08-18,1,11409
2016-08-18,10,6843
2016-08-18,20,5973
2016-08-18,50,5189
2016-08-18,100,4575
2016-08-25,1,11450
2016-08-25,10,6843
2016-08-25,20,5973
2016-08-25,50,5204
2016-08-25,100,4591
2016-08-26,1,11450
2016-08-26,10,6843
2016-08-26,20,5973
2016-08-26,50,5204
2016-08-26,100,4591
2016-09-01,1,11237
2016-09-01,10,6843
2016-09-01,20,5934
2016-09-01,50,5211
2016-09-01,100,4528
2016-09-08,1,11237
2016-09-08,10,6843
2016-09-08,20,5918
2016-09-08,50,5201
2016-09-08,100,4490
2016-09-15,1,11290
2016-09-15,10,6843
2016-09-15,20,5987
2016-09-15,50,5180
2016-09-15,100,4589
2016-09-22,1,11140
2016-09-22,10,7062
2016-09-22,20,6044
2016-09-22,50,5180
2016-09-22,100,4534
2016-09-29,1,11324
2016-09-29,10,6992
2016-09-29,20,6020
2016-09-29,50,5178
2016-09-29,100,4611
2016-10-06,1,11464
2016-10-06,10,6879
2016-10-06,20,5970
2016-10-06,50,5178
2016-10-06,100,4607
2016-10-13,1,11458
2016-10-13,10,6854
2016-10-13,20,6068
2016-10-13,50,5207
2016-10-13,100,4584
2016-10-20,1,11161
2016-10-20,10,6843
2016-10-20,20,6057
2016-10-20,50,5183
2016-10-20,100,4580
2016-10-27,1,11219
2016-10-27,10,6843
2016-10-27,20,6141
2016-10-27,50,5153
2016-10-27,100,4547
2016-11-03,1,11156
2016-11-03,10,6843
2016-11-03,20,6094
2016-11-03,50,5183
2016-11-03,100,4585
2016-11-10,1,11088
2016-11-10,10,6955
2016-11-10,20,6063
2016-11-10,50,5183
2016-11-10,100,4606
2016-11-17,1,11569
2016-11-17,10,6979
2016-11-17,20,6063
2016-11-17,50,5248
2016-11-17,100,4671
2016-11-24,1,11616
2016-11-24,10,7030
2016-11-24,20,6008
2016-11-24,50,5269
2016-11-24,100,4670
2016-12-01,1,11484
2016-12-01,10,7030
2016-12-01,20,6008
2016-12-01,50,5268
2016-12-01,100,4627
2016-12-08,1,11191
2016-12-08,10,6985
2016-12-08,20,6021
2016-12-08,50,5254
2016-12-08,100,4683
2016-12-15,1,11243
2016-12-15,10,6985
2016-12-15,20,6026
2016-12-15,50,5270
2016-12-15,100,4632
2016-12-22,1,11089
2016-12-22,10,7104
2016-12-22,20,6002
2016-12-22,50,5258
2016-12-22,100,4686
2016-12-29,1,11089
2016-12-29,10,7076
2016-12-29,20,6076
2016-12-29,50,5270
2016-12-29,100,4687
2017-01-05,1,11089
2017-01-05,10,6984
2017-01-05,20,6076
2017-01-05,50,5258
2017-01-05,100,4704
2017-01-12,1,11089
2017-01-12,10,6947
2017-01-12,20,6076
2017-01-12,50,5239
2017-01-12,100,4687
2017-01-19,1,11089
2017-01-19,10,6869
2017-01-19,20,5931
2017-01-19,50,5219
2017-01-19,100,4683
2017-01-26,1,10907
2017-01-26,10,6715
2017-01-26,20,6054
2017-01-26,50,5272
2017-01-26,100,4686
2017-02-02,1,10907
2017-02-02,10,6715
2017-02-02,20,5973
2017-02-02,50,5268
2017-02-02,100,4683
2017-02-09,1,10866
2017-02-09,10,6826
2017-02-09,20,6024
2017-02-09,50,5301
2017-02-09,100,4738
2017-02-16,1,11139
2017-02-16,10,6771
2017-02-16,20,6065
2017-02-16,50,5290
